iter	Logloss
0	0.6553938177
1	0.6255498661
2	0.5969968008
3	0.5668755368
4	0.5421566567
5	0.5188423432
6	0.4955556053
7	0.4707493534
8	0.4469680009
9	0.4296427204
10	0.4128777119
11	0.3966243654
12	0.3794321227
13	0.3613519198
14	0.349440735
15	0.3347291655
16	0.3218462831
17	0.3086022379
18	0.2949533046
19	0.2864090725
20	0.2754164635
21	0.2651336592
22	0.2572160078
23	0.2476578325
24	0.2388195835
25	0.230547879
26	0.2223228181
27	0.2158007704
28	0.2088198641
29	0.2019721148
30	0.1959669908
31	0.1905032463
32	0.1844145591
33	0.1783654017
34	0.1731574594
35	0.1684755144
36	0.1625898141
37	0.1581587575
38	0.1538386348
39	0.1496342228
40	0.1455647849
41	0.1422767264
42	0.1382686129
43	0.134030888
44	0.1300526891
45	0.1256841773
46	0.1226308818
47	0.1193647687
48	0.1157214695
49	0.1129740432
50	0.1099763802
51	0.1072638595
52	0.1047334179
53	0.1026484753
54	0.09974054251
55	0.09739411556
56	0.09528657323
57	0.09284836986
58	0.090767631
59	0.0888916508
60	0.08646334561
61	0.08426883295
62	0.08207029426
63	0.07960613592
64	0.07776060344
65	0.07615034584
66	0.07432297394
67	0.07260234813
68	0.07078152819
69	0.0689603423
70	0.06766552108
71	0.06633852316
72	0.06483658212
73	0.06350977729
74	0.06254188471
75	0.06114908907
76	0.05967996083
77	0.05884499357
78	0.05818726196
79	0.05729742807
80	0.05632579377
81	0.05511386656
82	0.05408371966
83	0.05309694215
84	0.05224295815
85	0.05115553317
86	0.04980064769
87	0.04879462728
88	0.04780423847
89	0.04679305053
90	0.04583773275
91	0.04530180316
92	0.04452975371
93	0.04344582065
94	0.04267268816
95	0.04225976754
96	0.04174222112
97	0.04124287184
98	0.04067207871
99	0.03973440317
